拒 15157 
拓 18680 
拔 13386 
拖 10037 
拗 158 
拘 13045 
拙 333 
拚 12 
招 63486 
拜 10717 
拟 17863 
拢 1312 
拣 595 
拥 34560 
拦 5919 
拧 729 
拨 12467 
择 43328 
括 50062 
拭 761 
拮 312 
拯 1060 
拱 1196 
拳 7363 
拴 430 
拷 398 
拼 10459 
拽 1020 
拾 3133 
拿 41892 
持 242764 
挂 25391 
指 160773 
挈 33 
按 75053 
挎 492 
挑 22993 
挖 11708 
挚 1694 
挛 245 
挝 1651 
挞 125 
挟 862 
挠 1130 
挡 6851 
挢 2 
挣 3969 
挤 5700 
挥 53469 
挨 2633 
挪 3874 
挫 2391 
振 15694 
挲 28 
挹 36 
挺 8642 
挽 3309 
捂 1053 
捃 1 
捅 1248 
捆 1736 
捉 2531 
捋 112 
捌 63 
捍 1515 
捎 214 
捏 1233 
捐 23054 
捕 16974 
捞 3509 
损 38475 
捡 3708 
换 45290 
捣 1221 
捧 4118 
捩 7 
捭 60 
据 276084 
捱 40 
捶 175 
捷 15645 
捺 174 
捻 74 
掀 3637 
掂 206 
掇 94 
授 40503 
掉 18246 
掌 18777 
掏 2772 
掐 804 
排 100225 
掖 318 
掘 8526 
掠 507 
探 42275 
掣 310 
接 198491 
控 81332 
推 243923 
掩 3781 
措 54147 
掬 158 
掮 62 
掰 475 
掳 284 
掴 257 
掷 981 
掸 62 
掺 590 
掼 144 
掾 1 
揄 61 
揆 41 
揉 506 
揍 161 
揎 2 
描 7787 
提 365934 
插 6832 
揖 63 
揠 31 
握 23881 
揣 945 
揩 43 
揪 922 
揭 12047 
揲 1 
援 36306 
揶 61 
揸 2 
揽 4306 
揿 6 
搀 605 
搁 1517 
搂 267 
搅 1311 
搌 2 
搏 3424 
搐 317 
搓 417 
搔 66 
搛 4 
搜 14953 
搞 13343 
搡 340 
搪 166 
搬 13166 
搭 21042 
搴 1 
携 17557 
搽 11 
搿 1 
摁 291 
摄 47627 
摆 14646 
摇 9243 
摈 74 
摊 7242 
摒 633 
摔 3770 
摘 7565 
摞 241 
摧 1401 
摩 15490 
摭 5 
摸 9020 
摹 205 
摺 1 
撂 302 
撅 24 
撇 405 
撑 14760 
撒 3920 
撕 2414 
撙 4 
撞 16049 
撤 9955 
撩 462 
撬 1778 
播 52666 
撮 406 
撰 3663 
撵 122 
撷 52 
撸 132 
撺 21 
撼 2423 
擀 209 
擂 521 
擅 4330 
操 22885 
擎 4060 
擒 840 
擘 186 
擞 182 
擢 42 
擤 34 
擦 5016 
攀 5980 
攒 1449 
攘 436 
攥 201 
攫 114 
攮 1 
支 160200 
攴 2 
收 182944 
攸 1019 
改 243198 
攻 30110 
放 161102 
政 469294 
故 69126 
效 129853 
敉 5 
敌 5437 
敏 20589 
救 85127 
敕 57 
敖 539 
教 220342 
敛 1540 
敝 143 
敞 1761 
敢 17395 
散 24025 
敦 8522 
敫 9 
敬 13921 
数 212418 
